ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
Q75.0,749.2,748-749.99," congenital anomalies of respiratory system, face and neck"
G44.3,339,339-340.99,Headache; including migraine
C76.7,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
D09.2,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
A88.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
Q22,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
Q61.3,751.21,750-751.99," congenital anomalies of gi, urinary tract"
I85,530.2,"530-530.99, 532-532.99", esophageal disorders
G52.9,352,351-355.99, mononeuritis and nerve lesions
I31.2,420.22,420-425.99, Other peri-; endo-; and myocarditis
I27.9,415.2,415-417.99,DISEASES OF PULMONARY CIRCULATION
K22.3,530,"530-530.99, 532-532.99", esophageal disorders
F65.4,302,295-306.99, psychological disorders
O98.4,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
D47.3,200,200-204.99, cancer of lymphatic and hematopoietic tissue
C51-C58.9,184.1,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
I65.1,433.1,430-438.99,CEREBROVASCULAR DISEASE
A17,10,,
T16,1001,,
O98.4,647,647-647.99, Infectious and parasitic complications affecting pregnancy
A60,54,,
F60.0,301,295-306.99, psychological disorders
H31.0,363.3,360-365.99, Degenerative disorders of the eye
N29,586,580-590.99, diseases of kidney and ureters
N25.8,588,580-590.99, diseases of kidney and ureters
E27.9,255,251-259.99,Other endocrine disorders
Q65.9,755.61,754-756.99, congenital musculoskeletal anomalies
R07.1,512.2,512-512.99, Other symptoms of respiratory system
M50.2,722.1,720-724.99,DORSOPATHIES
H44.2,360.2,360-365.99, Degenerative disorders of the eye
N39.4,599.4,599-599.99, Other symptoms/disorders or the urinary system
Q92,758.1,756-759.99, All other congenital anomalies
C63.0,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
D22,216,216-217.99,Benign neoplasm of skin
S70-S79.9,1009,,
B52.0,580.2,580-590.99, diseases of kidney and ureters
N82.3,617,617-618.99, prolapse/fistula and other disorders often associated with childbirth
T22.3,1000,,
M85.8,733,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
T84.9,858,850-859.99, Complications
S01.8,870.3,870-879.99, Open wound
B52.0,133,130-136.99, Other infections; including parasitic
I80.1,451.2,450-457.99, diseases of veins and lymphatics
S55.2,1007,,
C51.9,184.2,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
H20.1,371.1,369-374.99, infection/inflammation of eye
R51,339,339-340.99,Headache; including migraine
E66.0,278.1,278-278.99, Obesity
S70.7,915,910-919.99,"superficial, contusion, crushing injuries"
S32.5,802,800-809.99, Fractures
H02.5,374,369-374.99, infection/inflammation of eye
Q32.2,748,748-749.99," congenital anomalies of respiratory system, face and neck"
D21.3,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
H90.7,389,387-389.99, Hearing loss and related disorders
K03.8,521,520-526.99, Disorders of teeth and jaw
F80.2,315.2,312-315.99,Developmental/behavioral disorders
N89.9,619.4,619-619.99, Other noninflammatory female genital disorders
E80.1,277.1,277-277.99,Other/unspecified disorders of metabolism
B78.9,134.1,130-136.99, Other infections; including parasitic
N90.2,620,620-623.99," dysplasia, hyperplasia, polyp of female genital organs"
O01.0,634.1,634-636.99,complications of pregnancy
N17.1,585.1,580-590.99, diseases of kidney and ureters
Q84,757,756-759.99, All other congenital anomalies
T23.6,1000,,
R85.0,1010,,
G24.2,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
I60-I69.9,433,430-438.99,CEREBROVASCULAR DISEASE
K65.9,567,565-569.99, Other gastrointestinal
B22.0,348.8,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
J43.0,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
B22.0,71.1,,
N73.1,614.32,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
Q84.5,757,756-759.99, All other congenital anomalies
N35,597.1,595-597.99, other diseases of urinary system
Q14.8,753.2,752-754.99," congenital anomalies of nervous system, spine"
C79.5,198.6,195-199.99,"Neoplasms: malignant, secondary or uncertain"
K74.5,571.6,570-573.99, Liver disease
F00.9,290.1,290-292.99, dementia and related cognitive disorders/symptoms
R82.0,598,598-598.99, Nonspecific findings on examination of urine
J61,500.2,500-509.99, Pneumoconioses and other lung diseases
T18.9,1001,,
M86.1,710.11,710-716.99,Arthropathies
D38.4,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
M61.9,728.1,725-729.99,"Rheumatism, Excluding The Back"
L68.3,704.2,703-704.99, Diseases of hair and nails
R86.5,609.2,600-609.99, male genital disorders
C25.3,157,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
Z88.0,960.2,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
I61,430.2,430-438.99,CEREBROVASCULAR DISEASE
T81.2,1015,,
T32.4,1000,,
A04.9,8.5,,
T80.1,1011,,
K29.2,317.1,316-319.99, Substance-related disorders
N28.0,586.3,580-590.99, diseases of kidney and ureters
C69,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
A81.8,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
C71.5,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
C79.0,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
F41.9,300.1,295-306.99, psychological disorders
S81.0,1009,,
I02,41.21,,
A07.2,8.7,,
E04.2,241.2,240-246.99,DISORDERS OF THYROID GLAND
A09,8,,
A18.8,10,,
S56.4,1009,,
B60.0,133,130-136.99, Other infections; including parasitic
T70.9,1014,,
H16.9,370,369-374.99, infection/inflammation of eye
Q69.9,755.3,754-756.99, congenital musculoskeletal anomalies
S81.0,871,870-879.99, Open wound
C48.2,159.4,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
K06.2,523,520-526.99, Disorders of teeth and jaw
K41.2,550.3,550-550.99, Abdominal hernia
L98.0,686.4,680-686.99, Skin and subcutaneous tissue infections
